timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1714115040167,370,GET Method HTTP Request,200,OK,Load for GET Method 1-1,text,true,,1902,120,1,2,https://reqres.in/api/users,367,0,346
1714115040541,17,GET Method HTTP Request,200,OK,Load for GET Method 1-1,text,true,,1902,120,1,2,https://reqres.in/api/users,17,0,0
1714115040559,14,GET Method HTTP Request,200,OK,Load for GET Method 1-1,text,true,,1902,120,1,2,https://reqres.in/api/users,14,0,0
1714115040582,59,GET Method HTTP Request,200,OK,Load for GET Method 1-2,text,true,,1902,120,1,3,https://reqres.in/api/users,58,0,23
1714115040641,21,GET Method HTTP Request,200,OK,Load for GET Method 1-2,text,true,,1902,120,1,3,https://reqres.in/api/users,21,0,0
1714115040662,22,GET Method HTTP Request,200,OK,Load for GET Method 1-2,text,true,,1902,120,1,3,https://reqres.in/api/users,22,0,0
1714115040167,901,POST Method HTTP Request,201,Created,Load for POST Method 2-1,text,true,,901,232,2,2,https://reqres.in/api/users,901,0,346
1714115040585,552,POST Method HTTP Request,201,Created,Load for POST Method 2-2,text,true,,901,232,3,4,https://reqres.in/api/users,552,0,20
1714115041083,133,GET Method HTTP Request,200,OK,Load for GET Method 1-3,text,true,,1909,120,1,4,https://reqres.in/api/users,133,0,84
1714115041216,57,GET Method HTTP Request,200,OK,Load for GET Method 1-3,text,true,,1909,120,1,4,https://reqres.in/api/users,57,0,0
1714115041274,69,GET Method HTTP Request,200,OK,Load for GET Method 1-3,text,true,,1909,120,1,4,https://reqres.in/api/users,69,0,0
1714115041068,534,POST Method HTTP Request,201,Created,Load for POST Method 2-1,text,true,,901,232,4,5,https://reqres.in/api/users,533,0,0
1714115041085,566,POST Method HTTP Request,201,Created,Load for POST Method 2-3,text,true,,901,232,4,5,https://reqres.in/api/users,566,0,27
1714115041582,84,GET Method HTTP Request,200,OK,Load for GET Method 1-4,text,true,,1902,120,1,5,https://reqres.in/api/users,84,0,54
1714115041137,548,POST Method HTTP Request,201,Created,Load for POST Method 2-2,text,true,,901,232,4,5,https://reqres.in/api/users,548,0,0
1714115041666,43,GET Method HTTP Request,200,OK,Load for GET Method 1-4,text,true,,1902,120,1,5,https://reqres.in/api/users,43,0,0
1714115041709,20,GET Method HTTP Request,200,OK,Load for GET Method 1-4,text,true,,1902,120,1,5,https://reqres.in/api/users,20,0,0
1714115042082,57,GET Method HTTP Request,200,OK,Load for GET Method 1-5,text,true,,1902,120,1,6,https://reqres.in/api/users,57,0,38
1714115041602,553,POST Method HTTP Request,201,Created,Load for POST Method 2-1,text,true,,905,232,5,6,https://reqres.in/api/users,553,0,0
1714115042140,20,GET Method HTTP Request,200,OK,Load for GET Method 1-5,text,true,,1902,120,1,5,https://reqres.in/api/users,20,0,0
1714115041584,580,POST Method HTTP Request,201,Created,Load for POST Method 2-4,text,true,,905,232,4,5,https://reqres.in/api/users,580,0,21
1714115042161,17,GET Method HTTP Request,200,OK,Load for GET Method 1-5,text,true,,1902,120,1,5,https://reqres.in/api/users,17,0,0
1714115041651,533,POST Method HTTP Request,201,Created,Load for POST Method 2-3,text,true,,905,232,4,4,https://reqres.in/api/users,533,0,0
1714115041685,530,POST Method HTTP Request,201,Created,Load for POST Method 2-2,text,true,,905,232,4,4,https://reqres.in/api/users,530,0,0
1714115042581,48,GET Method HTTP Request,200,OK,Load for GET Method 1-6,text,true,,1902,120,1,5,https://reqres.in/api/users,48,0,24
1714115042630,12,GET Method HTTP Request,200,OK,Load for GET Method 1-6,text,true,,1902,120,1,5,https://reqres.in/api/users,12,0,0
1714115042642,14,GET Method HTTP Request,200,OK,Load for GET Method 1-6,text,true,,1902,120,1,5,https://reqres.in/api/users,13,0,0
1714115042086,576,POST Method HTTP Request,201,Created,Load for POST Method 2-5,text,true,,905,232,4,4,https://reqres.in/api/users,576,0,36
1714115042164,532,POST Method HTTP Request,201,Created,Load for POST Method 2-4,text,true,,905,232,4,4,https://reqres.in/api/users,532,0,0
1714115042185,533,POST Method HTTP Request,201,Created,Load for POST Method 2-3,text,true,,905,232,4,4,https://reqres.in/api/users,533,0,0
1714115043080,43,GET Method HTTP Request,200,OK,Load for GET Method 1-7,text,true,,1902,120,1,5,https://reqres.in/api/users,43,0,23
1714115043123,42,GET Method HTTP Request,200,OK,Load for GET Method 1-7,text,true,,1902,120,1,5,https://reqres.in/api/users,42,0,0
1714115042586,580,POST Method HTTP Request,201,Created,Load for POST Method 2-6,text,true,,905,232,4,5,https://reqres.in/api/users,580,0,18
1714115043165,17,GET Method HTTP Request,200,OK,Load for GET Method 1-7,text,true,,1902,120,1,5,https://reqres.in/api/users,17,0,0
1714115042662,532,POST Method HTTP Request,201,Created,Load for POST Method 2-5,text,true,,905,232,4,4,https://reqres.in/api/users,532,0,0
1714115042697,562,POST Method HTTP Request,201,Created,Load for POST Method 2-4,text,true,,905,232,4,4,https://reqres.in/api/users,562,0,0
1714115043580,82,GET Method HTTP Request,200,OK,Load for GET Method 1-8,text,true,,1902,120,1,5,https://reqres.in/api/users,81,0,32
1714115043662,27,GET Method HTTP Request,200,OK,Load for GET Method 1-8,text,true,,1902,120,1,5,https://reqres.in/api/users,27,0,0
1714115043166,529,POST Method HTTP Request,201,Created,Load for POST Method 2-6,text,true,,905,232,4,5,https://reqres.in/api/users,529,0,0
1714115043690,18,GET Method HTTP Request,200,OK,Load for GET Method 1-8,text,true,,1902,120,1,5,https://reqres.in/api/users,17,0,0
1714115043194,536,POST Method HTTP Request,201,Created,Load for POST Method 2-5,text,true,,905,232,4,4,https://reqres.in/api/users,536,0,0
1714115043084,759,POST Method HTTP Request,201,Created,Load for POST Method 2-7,text,true,,905,232,3,3,https://reqres.in/api/users,758,0,188
1714115044080,67,GET Method HTTP Request,200,OK,Load for GET Method 1-9,text,true,,1902,120,1,5,https://reqres.in/api/users,67,0,21
1714115043586,573,POST Method HTTP Request,201,Created,Load for POST Method 2-8,text,true,,901,232,4,5,https://reqres.in/api/users,573,0,26
1714115044147,20,GET Method HTTP Request,200,OK,Load for GET Method 1-9,text,true,,1902,120,1,5,https://reqres.in/api/users,20,0,0
1714115044167,20,GET Method HTTP Request,200,OK,Load for GET Method 1-9,text,true,,1902,120,1,5,https://reqres.in/api/users,20,0,0
1714115043696,534,POST Method HTTP Request,201,Created,Load for POST Method 2-6,text,true,,901,232,4,4,https://reqres.in/api/users,534,0,0
1714115043843,546,POST Method HTTP Request,201,Created,Load for POST Method 2-7,text,true,,901,232,3,3,https://reqres.in/api/users,546,0,0
1714115044087,574,POST Method HTTP Request,201,Created,Load for POST Method 2-9,text,true,,901,232,4,5,https://reqres.in/api/users,573,0,39
1714115044160,532,POST Method HTTP Request,201,Created,Load for POST Method 2-8,text,true,,901,232,4,5,https://reqres.in/api/users,532,0,0
1714115044580,118,GET Method HTTP Request,200,OK,Load for GET Method 1-10,text,true,,1909,120,1,5,https://reqres.in/api/users,118,0,77
1714115044699,42,GET Method HTTP Request,200,OK,Load for GET Method 1-10,text,true,,1909,120,1,5,https://reqres.in/api/users,42,0,0
1714115044742,55,GET Method HTTP Request,200,OK,Load for GET Method 1-10,text,true,,1909,120,1,5,https://reqres.in/api/users,55,0,0
1714115044389,532,POST Method HTTP Request,201,Created,Load for POST Method 2-7,text,true,,901,232,4,4,https://reqres.in/api/users,532,0,0
1714115044585,568,POST Method HTTP Request,201,Created,Load for POST Method 2-10,text,true,,893,232,3,3,https://reqres.in/api/users,568,0,30
1714115044661,530,POST Method HTTP Request,201,Created,Load for POST Method 2-9,text,true,,893,232,3,3,https://reqres.in/api/users,529,0,0
1714115044692,540,POST Method HTTP Request,201,Created,Load for POST Method 2-8,text,true,,893,232,3,3,https://reqres.in/api/users,540,0,0
1714115045153,531,POST Method HTTP Request,201,Created,Load for POST Method 2-10,text,true,,893,232,2,2,https://reqres.in/api/users,531,0,0
1714115045191,535,POST Method HTTP Request,201,Created,Load for POST Method 2-9,text,true,,893,232,2,2,https://reqres.in/api/users,535,0,0
